Country,Year,Value,Indicator,Color,Baseline,UpDown
Micronesia (Federated States of),2003,61.5,Access to drinking water and sanitation,red,100,Up
Nauru,2003,81.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2003,97.5,Access to drinking water and sanitation,red,100,Up
Niue,2003,99.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2003,86.5,Access to drinking water and sanitation,red,100,Up
Palau,2003,98.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2003,70.5,Access to drinking water and sanitation,red,100,Up
Samoa,2003,92.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2003,76.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2003,88.0,Access to drinking water and sanitation,red,100,Up
Tonga,2003,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2003,91.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2003,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2003,99.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2004,82.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2004,97.0,Access to drinking water and sanitation,red,100,Up
Fiji,2004,94.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2004,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2004,94.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2004,65.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2004,91.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2004,64.0,Access to drinking water and sanitation,red,100,Up
Nauru,2004,81.5,Access to drinking water and sanitation,red,100,Up
New Caledonia,2004,98.0,Access to drinking water and sanitation,red,100,Up
Niue,2004,99.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2004,87.0,Access to drinking water and sanitation,red,100,Up
Palau,2004,98.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2004,70.5,Access to drinking water and sanitation,red,100,Up
Samoa,2004,92.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2004,76.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2004,88.0,Access to drinking water and sanitation,red,100,Up
Tonga,2004,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2004,91.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2004,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2004,99.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2005,82.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2005,97.0,Access to drinking water and sanitation,red,100,Up
Fiji,2005,94.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2005,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2005,94.5,Access to drinking water and sanitation,red,100,Up
Kiribati,2005,65.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2005,91.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2005,66.0,Access to drinking water and sanitation,red,100,Up
Nauru,2005,81.5,Access to drinking water and sanitation,red,100,Up
New Caledonia,2005,98.0,Access to drinking water and sanitation,red,100,Up
Niue,2005,99.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2005,87.0,Access to drinking water and sanitation,red,100,Up
Palau,2005,98.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2005,70.5,Access to drinking water and sanitation,red,100,Up
Samoa,2005,92.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2005,77.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2005,88.5,Access to drinking water and sanitation,red,100,Up
Tonga,2005,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2005,91.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2005,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2005,99.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2006,82.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2006,97.5,Access to drinking water and sanitation,red,100,Up
Fiji,2006,95.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2006,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2006,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2006,66.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2006,91.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2006,68.5,Access to drinking water and sanitation,red,100,Up
Nauru,2006,81.5,Access to drinking water and sanitation,red,100,Up
New Caledonia,2006,98.0,Access to drinking water and sanitation,red,100,Up
Niue,2006,99.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2006,87.5,Access to drinking water and sanitation,red,100,Up
Palau,2006,98.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2006,69.5,Access to drinking water and sanitation,red,100,Up
Samoa,2006,92.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2006,77.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2006,89.5,Access to drinking water and sanitation,red,100,Up
Tonga,2006,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2006,91.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2006,81.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2006,99.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2007,82.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2007,97.5,Access to drinking water and sanitation,red,100,Up
Fiji,2007,95.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2007,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2007,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2007,67.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2007,91.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2007,70.5,Access to drinking water and sanitation,red,100,Up
Nauru,2007,82.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2007,98.0,Access to drinking water and sanitation,red,100,Up
Niue,2007,99.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2007,87.5,Access to drinking water and sanitation,red,100,Up
Palau,2007,99.0,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2007,69.5,Access to drinking water and sanitation,red,100,Up
Samoa,2007,92.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2007,78.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2007,90.0,Access to drinking water and sanitation,red,100,Up
Tonga,2007,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2007,91.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2007,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2007,98.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2008,82.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2008,97.5,Access to drinking water and sanitation,red,100,Up
Fiji,2008,95.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2008,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2008,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2008,68.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2008,92.0,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2008,73.0,Access to drinking water and sanitation,red,100,Up
Nauru,2008,82.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2008,98.5,Access to drinking water and sanitation,red,100,Up
Niue,2008,99.0,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2008,88.0,Access to drinking water and sanitation,red,100,Up
Palau,2008,99.0,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2008,69.5,Access to drinking water and sanitation,red,100,Up
Samoa,2008,92.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2008,79.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2008,91.0,Access to drinking water and sanitation,red,100,Up
Tonga,2008,98.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2008,92.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2008,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2008,98.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2009,81.5,Access to drinking water and sanitation,red,100,Up
Cook Islands,2009,98.0,Access to drinking water and sanitation,red,100,Up
Fiji,2009,95.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2009,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2009,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2009,68.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2009,92.0,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2009,75.0,Access to drinking water and sanitation,red,100,Up
Nauru,2009,82.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2009,98.5,Access to drinking water and sanitation,red,100,Up
Niue,2009,98.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2009,88.0,Access to drinking water and sanitation,red,100,Up
Palau,2009,99.0,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2009,69.0,Access to drinking water and sanitation,red,100,Up
Samoa,2009,93.0,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2009,79.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2009,92.0,Access to drinking water and sanitation,red,100,Up
Tonga,2009,98.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2009,92.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2009,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2009,98.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2010,81.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2010,98.0,Access to drinking water and sanitation,red,100,Up
Fiji,2010,96.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2010,99.0,Access to drinking water and sanitation,red,100,Up
Guam,2010,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2010,69.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2010,92.0,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2010,77.0,Access to drinking water and sanitation,red,100,Up
Nauru,2010,82.5,Access to drinking water and sanitation,red,100,Up
New Caledonia,2010,98.5,Access to drinking water and sanitation,red,100,Up
Niue,2010,98.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2010,88.0,Access to drinking water and sanitation,red,100,Up
Palau,2010,99.0,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2010,69.0,Access to drinking water and sanitation,red,100,Up
Samoa,2010,93.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2010,80.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2010,92.5,Access to drinking water and sanitation,red,100,Up
Tonga,2010,99.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2010,92.0,Access to drinking water and sanitation,red,100,Up
Vanuatu,2010,82.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2010,97.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2011,80.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2011,98.0,Access to drinking water and sanitation,red,100,Up
Fiji,2011,96.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2011,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2011,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2011,69.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2011,92.0,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2011,79.5,Access to drinking water and sanitation,red,100,Up
Nauru,2011,82.5,Access to drinking water and sanitation,red,100,Up
New Caledonia,2011,98.5,Access to drinking water and sanitation,red,100,Up
Niue,2011,98.0,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2011,88.5,Access to drinking water and sanitation,red,100,Up
Palau,2011,99.0,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2011,69.0,Access to drinking water and sanitation,red,100,Up
Samoa,2011,93.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2011,81.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2011,93.5,Access to drinking water and sanitation,red,100,Up
Tonga,2011,98.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2011,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2011,82.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2011,97.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2012,79.5,Access to drinking water and sanitation,red,100,Up
Cook Islands,2012,98.5,Access to drinking water and sanitation,red,100,Up
Fiji,2012,96.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2012,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2012,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2012,69.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2012,92.0,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2012,82.0,Access to drinking water and sanitation,red,100,Up
Nauru,2012,82.5,Access to drinking water and sanitation,red,100,Up
New Caledonia,2012,98.5,Access to drinking water and sanitation,red,100,Up
Niue,2012,98.0,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2012,88.5,Access to drinking water and sanitation,red,100,Up
Palau,2012,99.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2012,68.5,Access to drinking water and sanitation,red,100,Up
Samoa,2012,93.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2012,82.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2012,94.0,Access to drinking water and sanitation,red,100,Up
Tonga,2012,98.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2012,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2012,82.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2012,97.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2013,79.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2013,98.5,Access to drinking water and sanitation,red,100,Up
Fiji,2013,97.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2013,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2013,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2013,70.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2013,92.0,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2013,84.0,Access to drinking water and sanitation,red,100,Up
Nauru,2013,83.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2013,99.0,Access to drinking water and sanitation,red,100,Up
Niue,2013,98.0,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2013,89.0,Access to drinking water and sanitation,red,100,Up
Palau,2013,99.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2013,68.5,Access to drinking water and sanitation,red,100,Up
Samoa,2013,93.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2013,82.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2013,95.0,Access to drinking water and sanitation,red,100,Up
Tonga,2013,98.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2013,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2013,81.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2013,97.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2014,79.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2014,99.0,Access to drinking water and sanitation,red,100,Up
Fiji,2014,97.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2014,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2014,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2014,70.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2014,92.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2014,86.0,Access to drinking water and sanitation,red,100,Up
Nauru,2014,83.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2014,99.0,Access to drinking water and sanitation,red,100,Up
Niue,2014,97.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2014,89.0,Access to drinking water and sanitation,red,100,Up
Palau,2014,99.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2014,68.5,Access to drinking water and sanitation,red,100,Up
Samoa,2014,93.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2014,83.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2014,96.0,Access to drinking water and sanitation,red,100,Up
Tonga,2014,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2014,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2014,82.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2014,97.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2015,78.5,Access to drinking water and sanitation,red,100,Up
Cook Islands,2015,99.0,Access to drinking water and sanitation,red,100,Up
Fiji,2015,97.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2015,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2015,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2015,70.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2015,92.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2015,88.0,Access to drinking water and sanitation,red,100,Up
Nauru,2015,83.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2015,99.0,Access to drinking water and sanitation,red,100,Up
Niue,2015,97.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2015,89.0,Access to drinking water and sanitation,red,100,Up
Palau,2015,99.5,Access to drinking water and sanitation,red,100,Up
Papua New Guinea,2015,68.5,Access to drinking water and sanitation,red,100,Up
Samoa,2015,94.0,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2015,84.0,Access to drinking water and sanitation,red,100,Up
Tokelau,2015,96.5,Access to drinking water and sanitation,red,100,Up
Tonga,2015,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2015,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2015,82.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2015,97.0,Access to drinking water and sanitation,red,100,Up
American Samoa,2016,78.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2016,99.0,Access to drinking water and sanitation,red,100,Up
Fiji,2016,98.0,Access to drinking water and sanitation,red,100,Up
French Polynesia,2016,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2016,95.0,Access to drinking water and sanitation,red,100,Up
Kiribati,2016,70.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2016,92.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2016,88.0,Access to drinking water and sanitation,red,100,Up
Nauru,2016,83.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2016,99.0,Access to drinking water and sanitation,red,100,Up
Niue,2016,97.0,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2016,89.5,Access to drinking water and sanitation,red,100,Up
Palau,2016,100.0,Access to drinking water and sanitation,green,100,Up
Papua New Guinea,2016,68.0,Access to drinking water and sanitation,red,100,Up
Samoa,2016,94.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2016,84.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2016,98.0,Access to drinking water and sanitation,red,100,Up
Tonga,2016,98.0,Access to drinking water and sanitation,red,100,Up
Tuvalu,2016,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2016,82.0,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2016,96.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2017,77.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2017,99.5,Access to drinking water and sanitation,red,100,Up
Fiji,2017,98.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2017,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2017,100.0,Access to drinking water and sanitation,green,100,Up
Kiribati,2017,70.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2017,92.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2017,88.0,Access to drinking water and sanitation,red,100,Up
Nauru,2017,83.0,Access to drinking water and sanitation,red,100,Up
New Caledonia,2017,99.5,Access to drinking water and sanitation,red,100,Up
Niue,2017,96.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2017,89.5,Access to drinking water and sanitation,red,100,Up
Palau,2017,100.0,Access to drinking water and sanitation,green,100,Up
Papua New Guinea,2017,67.5,Access to drinking water and sanitation,red,100,Up
Samoa,2017,94.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2017,84.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2017,98.5,Access to drinking water and sanitation,red,100,Up
Tonga,2017,97.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2017,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2017,82.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2017,96.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2018,77.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2018,99.5,Access to drinking water and sanitation,red,100,Up
Fiji,2018,98.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2018,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2018,100.0,Access to drinking water and sanitation,green,100,Up
Kiribati,2018,70.5,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2018,92.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2018,88.0,Access to drinking water and sanitation,red,100,Up
Nauru,2018,100.0,Access to drinking water and sanitation,green,100,Up
New Caledonia,2018,99.5,Access to drinking water and sanitation,red,100,Up
Niue,2018,96.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2018,89.5,Access to drinking water and sanitation,red,100,Up
Palau,2018,100.0,Access to drinking water and sanitation,green,100,Up
Papua New Guinea,2018,68.0,Access to drinking water and sanitation,red,100,Up
Samoa,2018,94.5,Access to drinking water and sanitation,red,100,Up
Solomon Islands,2018,84.5,Access to drinking water and sanitation,red,100,Up
Tokelau,2018,98.5,Access to drinking water and sanitation,red,100,Up
Tonga,2018,97.5,Access to drinking water and sanitation,red,100,Up
Tuvalu,2018,92.5,Access to drinking water and sanitation,red,100,Up
Vanuatu,2018,82.5,Access to drinking water and sanitation,red,100,Up
Wallis and Futuna,2018,96.5,Access to drinking water and sanitation,red,100,Up
American Samoa,2019,77.0,Access to drinking water and sanitation,red,100,Up
Cook Islands,2019,99.5,Access to drinking water and sanitation,red,100,Up
Fiji,2019,98.5,Access to drinking water and sanitation,red,100,Up
French Polynesia,2019,98.5,Access to drinking water and sanitation,red,100,Up
Guam,2019,100.0,Access to drinking water and sanitation,green,100,Up
Kiribati,2019,71.0,Access to drinking water and sanitation,red,100,Up
Marshall Islands,2019,92.5,Access to drinking water and sanitation,red,100,Up
Micronesia (Federated States of),2019,88.0,Access to drinking water and sanitation,red,100,Up
Nauru,2019,100.0,Access to drinking water and sanitation,green,100,Up
New Caledonia,2019,99.5,Access to drinking water and sanitation,red,100,Up
Niue,2019,96.5,Access to drinking water and sanitation,red,100,Up
Northern Mariana Islands,2019,89.5,Access to drinking water and sanitation,red,100,Up
Palau,2019,100.0,Access to drinking water and sanitation,green,100,Up
